1,Alice Smith,CS,OOP,6,5.0
1,Alice Smith,CS,Algorithms,5,4.5
1,Alice Smith,CS,Databases,5,4.0
1,Alice Smith,CS,Operating Systems,6,4.5

2,Bob Johnson,CS,OOP,6,3.5
2,Bob Johnson,CS,Algorithms,5,3.0
2,Bob Johnson,CS,Databases,5,4.0
2,Bob Johnson,CS,Software Engineering,6,3.5

3,Charlie Brown,Math,Algebra,6,4.5
3,Charlie Brown,Math,Calculus,6,4.0
3,Charlie Brown,Math,Statistics,5,4.5
3,Charlie Brown,Math,Probability,5,4.0

4,Diana Miller,CS,OOP,6,5.0
4,Diana Miller,CS,Algorithms,5,5.0
4,Diana Miller,CS,Operating Systems,6,4.5
4,Diana Miller,CS,Networks,5,4.0

5,Ethan Wilson,Physics,Mechanics,6,4.0
5,Ethan Wilson,Physics,Electromagnetism,5,3.5
5,Ethan Wilson,Physics,Thermodynamics,5,4.0
5,Ethan Wilson,Physics,Quantum Physics,6,4.5

6,Fiona Taylor,CS,OOP,6,4.5
6,Fiona Taylor,CS,Databases,5,4.5
6,Fiona Taylor,CS,Software Engineering,6,5.0
6,Fiona Taylor,CS,Web Programming,5,4.0

7,George Anderson,Math,Algebra,6,3.5
7,George Anderson,Math,Calculus,6,3.0
7,George Anderson,Math,Statistics,5,3.5
7,George Anderson,Math,Probability,5,3.0

8,Hannah Thomas,CS,OOP,6,4.0
8,Hannah Thomas,CS,Web Programming,5,4.5
8,Hannah Thomas,CS,Databases,5,4.0
8,Hannah Thomas,CS,Software Engineering,6,4.5

9,Ian Moore,Physics,Quantum Physics,6,4.5
9,Ian Moore,Physics,Thermodynamics,5,4.0
9,Ian Moore,Physics,Mechanics,6,4.0
9,Ian Moore,Physics,Optics,5,4.5

10,Julia Martin,Math,Statistics,5,5.0
10,Julia Martin,Math,Probability,5,4.5
10,Julia Martin,Math,Calculus,6,4.5
10,Julia Martin,Math,Algebra,6,5.0

11,Kevin Lee,CS,OOP,6,3.0
11,Kevin Lee,CS,Algorithms,5,3.5
11,Kevin Lee,CS,Databases,5,3.0
11,Kevin Lee,CS,Operating Systems,6,3.5

12,Laura White,CS,OOP,6,4.0
12,Laura White,CS,Databases,5,4.0
12,Laura White,CS,Software Engineering,6,4.5
12,Laura White,CS,Web Programming,5,4.0

13,Michael Harris,Math,Algebra,6,5.0
13,Michael Harris,Math,Calculus,6,4.5
13,Michael Harris,Math,Statistics,5,4.5
13,Michael Harris,Math,Probability,5,4.0

14,Nina Clark,Physics,Mechanics,6,4.5
14,Nina Clark,Physics,Optics,5,4.0
14,Nina Clark,Physics,Thermodynamics,5,4.0
14,Nina Clark,Physics,Quantum Physics,6,4.5

15,Oliver Lewis,CS,OOP,6,4.0
15,Oliver Lewis,CS,Web Programming,5,3.5
15,Oliver Lewis,CS,Databases,5,4.0
15,Oliver Lewis,CS,Algorithms,5,3.5

16,Paula Young,Math,Probability,5,4.0
16,Paula Young,Math,Statistics,5,4.5
16,Paula Young,Math,Calculus,6,4.0
16,Paula Young,Math,Algebra,6,4.5

